Train data type,Eval set,Cased,Base model,Num epochs,Max seq length,ACCURACY,F1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,no_text_b,high_iaa_fold5,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.84,0.82,,no_text_b,high_iaa_fold5,test,uncased,LM-finetuned-all-cc-uncased,3,500,,
high_iaa_downsampled + text_b,dev,uncased,bert-base-uncased,3,500,0.73,0.72,,,text_b,high_iaa_fold6,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.83,0.82,,text_b,high_iaa_fold6,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.8,0.78
high_iaa_downsampled + text_b,test,uncased,^,-,500,0.74,0.7,,,text_b,high_iaa_fold6,test,uncased,bert-base-uncased,3,500,0.79,0.79,,text_b,high_iaa_fold6,test,uncased,bert-base-uncased,3,500,,
,,,,,,,,,,no_text_b,high_iaa_fold6,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.84,0.83,,no_text_b,high_iaa_fold6,test,uncased,LM-finetuned-all-cc-uncased,3,500,,
high_iaa_downsampled + text_b,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.82,0.82,,,text_b,high_iaa_fold7,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.79,0.75,,text_b,high_iaa_fold7,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.79,0.78
high_iaa_downsampled + text_b,test,uncased,^,na,500,0.77,0.72,,,text_b,high_iaa_fold7,test,uncased,bert-base-uncased,3,500,0.78,0.75,,text_b,high_iaa_fold7,test,uncased,bert-base-uncased,3,500,,
,,,,,,,,,,no_text_b,high_iaa_fold7,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.79,0.75,,no_text_b,high_iaa_fold7,test,uncased,LM-finetuned-all-cc-uncased,3,500,,
high_iaa + fr,dev,uncased,bert-base-uncased,3,500,0.77,0.74,*,,text_b,high_iaa_fold8,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.81,0.79,,text_b,high_iaa_fold8,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.71,0.66
high_iaa + fr,test,uncased,^,-,500,0.8,0.75,,,text_b,high_iaa_fold8,test,uncased,bert-base-uncased,3,500,0.79,0.76,,text_b,high_iaa_fold8,test,uncased,bert-base-uncased,3,500,,
,,,,,,,,,,no_text_b,high_iaa_fold8,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.8,0.78,,no_text_b,high_iaa_fold8,test,uncased,LM-finetuned-all-cc-uncased,3,500,,
high_iaa + fr,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.74,0.72,,,text_b,high_iaa_fold9,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.79,0.78,,text_b,high_iaa_fold9,test,uncased,LM-finetuned-all-cc-uncased,3,500,0.86,0.84
