LIST_1,LIST_3,*LIST_4,LIST_7,LIST_9,LIST_35
perceive,promise,,,,
phone,promulgate,,,,
plan,pronounce,,,,
play,prophsey,,,,
plead,propose,,,,
pledge,propound,,,,
point out,protest,,,,
posit,prove,,,,
postulate,provide,,,,
pray,publish,,,,
preach,query,,,,
preclude,question,,,,
predestinate,quote,,,,
predetermine,radio,,,,
predict,read,,,,
prefigure,realize,,,,
prefer,reason,,,,
premise,recall,,,,
premiss,reckon,,,,
presage,recognize,,,,
presume,recollect,,,,
presuppose,recommend,,,,
pretend,record,,,,
proclaim,recount,,,,
profess,reflect,,,,
prognosticate,register,,,,
promise,regret,,,,
promulgate,reiterate,,,,
pronounce,relate,,,,
prophesy,relay,,,,
propose,release,,,,
propound,relish,,,,
protest,remark,,,,
prove,remember,,,,
provide,repeat,,,,
publish,reply,,,,
query,report,,,,
question,represent,,,,
quote,repudiate,,,,
radio,resent,,,,
read,resolve,,,,
reaffirm,respond,,,,
realize,restate,,,,
reason,retort,,,,
recall,reveal,,,,
reckon,risk,,,,
recognize,rule,,,,
recollect,rumor,,,,
recommend,sanction,,,,
record,say,,,,
recount,see,,,,
reflect,see to,,,,
register,sense,,,,
regret,set down,,,,
reiterate,set forth,,,,
relate,settle,,,,
relay,show,,,,
release,signal,,,,
relish,signify,,,,
remark,specify,,,,
remember,speculate,,,,
reminisce,spell out,,,,
repeat,state,,,,
repent,stipulate,,,,
reply,stress,,,,
report,submit,,,,
represent,substantiate,,,,
repudiate,suggest,,,,
require,suppose,,,,
resent,surmise,,,,
resolve,suspect,,,,
respond,swear,,,,
retain,symbolize,,,,
retort,teach,,,,
reveal,telephone,,,,
risk,telegraph,,,,
rule,tell,,,,
say,testify,,,,
see,think,,,,
see to it,threaten,,,,
sense,tolerate,,,,
set down,transmit,,,,
set forth,treasure,,,,
settle,type,,,,
show,uncover,,,,
signal,underline,,,,
signify,understand,,,,
smell,unveil,,,,
specify,uphold,,,,
speculate,urge,,,,
spell out,value,,,,
stand,venture,,,,
state,verify,,,,
stipulate,volunteer,,,,
stress,vow,,,,
submit,wager,,,,
substantiate,warn,,,,
suggest,warrant,,,,
suppose,whisper,,,,
surmise,wire,,,,
suspect,wish,,,,
swear,witness,,,,
symbolize,write,,,,
take care,,,,,
teach,,,,,
telephone,,,,,
telegraph,,,,,
tell,,,,,
testify,,,,,
think,,,,,
threaten,,,,,
tolerate,,,,,
transmit,,,,,
treasure,,,,,
trust,,,,,
type,,,,,
uncover,,,,,
underline,,,,,
understand,,,,,
uphold,,,,,
